x,y
-3.170842420862587119e+01,1.246355935604235299e+01
-3.125519283486250544e+01,1.235064990428830889e+01
-3.085074798865726109e+01,1.211995935604235797e+01
-3.035074798865726109e+01,1.211995935604235797e+01
-2.985074798865726109e+01,1.211995935604235797e+01
-2.935074798865726109e+01,1.211995935604235797e+01
-2.898423533197462376e+01,1.179769240140042896e+01
-2.849307176868865810e+01,1.177635935604235584e+01
-2.799307176868865810e+01,1.177635935604235584e+01
-2.752102272025759433e+01,1.170887978968339738e+01
-2.713539554872005510e+01,1.143275935604235372e+01
-2.663539554872005510e+01,1.143275935604235372e+01
-2.613539554872005510e+01,1.143275935604235372e+01
-2.570425671794729183e+01,1.126651378737309273e+01
-2.527771932875145211e+01,1.108915935604235159e+01
-2.477771932875145211e+01,1.108915935604235159e+01
-2.427771932875145211e+01,1.108915935604235159e+01
-2.388749071563698578e+01,1.082414778506278985e+01
-2.342004310878284556e+01,1.074555935604235657e+01
-2.292004310878284556e+01,1.074555935604235657e+01
-2.242427810391995635e+01,1.073533517334576182e+01
-2.206236688881424257e+01,1.040195935604235444e+01
-2.156236688881424257e+01,1.040195935604235444e+01
-2.106236688881424257e+01,1.040195935604235444e+01
-2.060751210160965385e+01,1.029296917103545539e+01
-2.020469066884563958e+01,1.005835935604235232e+01
-1.970469066884563958e+01,1.005835935604235232e+01
-1.920469066884563958e+01,1.005835935604235232e+01
-1.879074609929934780e+01,9.850603168725154291e+00
-1.834701444887703303e+01,9.714759356042357297e+00
-1.784701444887703303e+01,9.714759356042357297e+00
-1.734701444887703303e+01,9.714759356042357297e+00
-1.697398009698904531e+01,9.408237166414849639e+00
-1.648933822890843004e+01,9.371159356042355171e+00
-1.598933822890843004e+01,9.371159356042355171e+00
-1.551076748527201410e+01,9.319424554697819829e+00
-1.513166200893982527e+01,9.027559356042353045e+00
-1.463166200893982527e+01,9.027559356042353045e+00
-1.413166200893982527e+01,9.027559356042353045e+00
-1.369400148296171160e+01,8.877058552387511625e+00
-1.327398578897122228e+01,8.683959356042350919e+00
-1.278561848180656035e+01,8.655875551232357523e+00
-1.243206509121328374e+01,8.302322160639088011e+00
-1.207851170062001067e+01,7.948768770045814058e+00
-1.178290228661654737e+01,7.571214198491212244e+00
-1.161436680944915878e+01,7.141023878874964481e+00
-1.143930228661655235e+01,6.713537978522603034e+00
-1.115022191827830866e+01,6.333278987704114904e+00
-1.103963041770073339e+01,5.879087487126538392e+00
-1.075210228661654810e+01,5.498185538585397047e+00
-1.075210228661654810e+01,4.998185538585397047e+00
-1.046489402595230800e+01,4.617151095378110526e+00
-1.011134063535903493e+01,4.263597704784835685e+00
-9.757787244765758317e+00,3.910044314191565284e+00
-9.404233854172483476e+00,3.556490923598292220e+00
-9.050680463579213963e+00,3.202937533005014714e+00
-8.697127072985937346e+00,2.849384142411744314e+00
-8.342194929379358470e+00,2.499159356042355284e+00
-7.842194929379358470e+00,2.499159356042355284e+00
-7.342194929379358470e+00,2.499159356042355284e+00
-6.842194929379358470e+00,2.499159356042355284e+00
-6.426169570098058337e+00,2.296426639523862612e+00
-5.984518709410755477e+00,2.155559356042353159e+00
-5.484518709410755477e+00,2.155559356042353159e+00
-4.984518709410755477e+00,2.155559356042353159e+00
-4.484518709410755477e+00,2.155559356042353159e+00
-3.984518709410755477e+00,2.155559356042353159e+00
-3.600382456648302920e+00,1.875839526074102093e+00
-3.126842489442153816e+00,1.811959356042351033e+00
-2.626842489442153816e+00,1.811959356042351033e+00
-2.126842489442153816e+00,1.811959356042351033e+00
-1.626842489442153816e+00,1.811959356042351033e+00
-1.128148733791818570e+00,1.808805803217617081e+00
-7.691662694735450501e-01,1.468359356042356012e+00
-2.691662694735450501e-01,1.468359356042356012e+00
2.308337305264549499e-01,1.468359356042356012e+00
7.308337305264549499e-01,1.468359356042356012e+00
1.230833730526454950e+00,1.468359356042356012e+00
1.697638379657943730e+00,1.388218689767862557e+00
2.088509950495058831e+00,1.124759356042353886e+00
2.588509950495058831e+00,1.124759356042353886e+00
3.088509950495058831e+00,1.124759356042353886e+00
3.588509950495058831e+00,1.124759356042353886e+00
4.069233992530126187e+00,1.078223076895679089e+00
4.422787383123400140e+00,7.246696863024051360e-01
4.776340773716674093e+00,3.711162957091311831e-01
5.129894164309948046e+00,1.756290511585720249e-02
5.483447554903221999e+00,-3.359904854774167782e-01
5.740697713383447365e+00,-7.294339809122794005e-01
5.740697713383447365e+00,-1.229433980912279400e+00
6.058183946651646501e+00,-1.597926877225842368e+00
6.084297713383449491e+00,-2.087110200880882172e+00
6.279366947806798827e+00,-2.506309878380993617e+00
6.427897713383451617e+00,-2.944786420849484720e+00
6.500549948961951152e+00,-3.414692879536144865e+00
6.771497713383453743e+00,-3.802462640818088158e+00
6.964694840132801268e+00,-4.222437770706995330e+00
7.115097713383448763e+00,-4.660138860786696036e+00
7.185877841287951817e+00,-5.130820771862148355e+00
7.458697713383450889e+00,-5.517815080755299917e+00
7.458697713383450889e+00,-6.017815080755299917e+00
7.760614233036378984e+00,-6.392757163610573556e+00
7.802297713383453015e+00,-6.875491300723902910e+00
7.981797234191530421e+00,-7.301140164765726581e+00
8.145897713383448036e+00,-7.733167520692511232e+00
8.202980235346680971e+00,-8.209523165920879606e+00
8.489497713383450161e+00,-8.590843740661114225e+00
8.489497713383450161e+00,-9.090843740661114225e+00
8.489497713383450161e+00,-9.590843740661114225e+00
